,Day #1,Day #2,Day #3,Day #4,Day #5,Day #6,Day #7,Day #8,Day #9,Day #10,Day #11,Day #12,Day #13,Day #14,Day #15,Day #16,Day #17,Day #18,Day #19,Day #20
A,-78.0,-22.0,-77.0,112.00000000000001,-75.0,32.0,87.0,111.00000000000001,77.0,-14.000000000000002,15.0,89.0,-36.0,144.0,-159.0,120.0,-169.0,-9.0,114.99999999999999,-120.0
B,38.0,9.0,-18.0,-84.0,-77.0,-90.0,27.0,148.0,34.0,68.0,113.99999999999999,-76.0,57.99999999999999,-46.0,127.0,51.0,-19.0,71.0,212.0,42.0
C,23.0,-92.0,-83.0,111.00000000000001,-24.0,81.0,-56.99999999999999,52.0,6.0,86.0,178.0,74.0,-102.0,98.0,-57.99999999999999,-7.000000000000001,-89.0,-19.0,-16.0,23.0
D,-65.0,72.0,3.0,52.0,-81.0,137.0,56.00000000000001,-45.0,62.0,198.0,-75.0,202.99999999999997,-39.0,98.0,-78.0,-66.0,-142.0,-40.0,-74.0,41.0
E,134.0,-12.0,39.0,22.0,33.0,-50.0,-65.0,-73.0,85.0,-51.0,3.0,-145.0,-43.0,-6.0,-64.0,-89.0,15.0,-71.0,149.0,159.0
F,-43.0,45.0,-94.0,16.0,11.0,-252.99999999999997,183.0,43.0,-20.0,-7.000000000000001,-95.0,-82.0,-35.0,49.0,-61.0,-83.0,-38.0,-28.999999999999996,-69.0,100.0
G,101.0,11.0,-142.0,31.0,-98.0,32.0,-88.0,97.0,-142.0,120.0,-2.0,8.0,-103.0,11.0,-16.0,-69.0,45.0,133.0,-56.00000000000001,-220.00000000000003
H,-104.0,42.0,-28.000000000000004,17.0,-179.0,-40.0,-71.0,-99.0,213.0,96.0,-102.0,-118.0,22.0,-53.0,92.0,118.0,-95.0,97.0,12.0,-69.0
I,-66.0,55.00000000000001,11.0,-17.0,-89.0,-12.0,-211.0,-7.000000000000001,121.0,-183.0,-2.0,112.00000000000001,57.99999999999999,72.0,-17.0,-132.0,189.0,160.0,-84.0,32.0
J,168.0,-82.0,112.00000000000001,-30.0,-134.0,-8.0,111.00000000000001,-102.0,-4.0,84.0,-31.0,-186.0,110.00000000000001,-43.0,79.0,31.0,-101.0,-127.0,-114.99999999999999,-17.0
